APOB	GPC2
APOB	GPC4
APOB	GPC5
APOB	ITGAM
APOB	ITGB2
APOB	LDLR
APOB	LRP1
APOB	LRP2
APOB	LRP6
APOB	LRP8
APOB	LSR
APOB	OLR1
APOB	SDC1
APOB	SDC2
APOB	SDC3
APOB	SDC4
APOB	SORT1
APOB	TLR4
APOB	TLR6
APOB	TREM2
APOB	VLDLR
APOC1	APP
APOC1	LSR
APOC1	VLDLR
APOC2	APP
APOC2	GPC1
APOC2	GPC2
APOC2	GPC4
APOC2	GPC5
APOC2	LDLR
APOC2	LRP1
APOC2	LRP2
APOC2	SDC1
APOC2	SDC2
APOC2	SDC3
APOC2	SDC4
APOC3	APP
APOC3	GPC1
APOC3	GPC2
APOC3	GPC4
APOC3	GPC5
APOC3	SDC1
APOC3	SDC3
APOC3	SDC4
APOC4	APP
APOC4	LSR
APOC4	VLDLR
APOD	LEPR
APOE	APP
APOE	CHRNA4
APOE	GPC1
APOE	GPC2
APOE	GPC4
APOE	GPC5
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP4
APOE	LRP5
APOE	LRP6
APOE	LRP8
APOE	LSR
APOE	SCARB1
APOE	SDC1
APOE	SDC2
APOE	SDC3
APOE	SDC4
APOE	SORL1
APOE	TREM2
APOE	VLDLR
APOL1	APP
APOO	IL1RAPL1
APOO	IL1RAPL2
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	LRP1
APP	NCSTN
APP	SORL1
APP	TNFRSF21
AREG	CHUK
AREG	EGFR
AREG	ERBB2
AREG	ERBB3
AREG	MMP9
ARF1	CD4
ARF1	CD74
ARF1	CHRM3
ARF1	IGF2R
ARF1	INSR
ARF1	PLD2
ARF1	SORT1
ARF1	TFRC
ARF4	EGFR
ARF4	PLD2
ARF6	MAPK1
ARF6	MAPK3
ARF6	PIKFYVE
ARF6	PIP4K2A
ARF6	PIP4K2B
ARF6	PIP5K1A
ARF6	PIP5K1B
ARF6	PIP5K1C
ARF6	PLD1
ARF6	PLD2
ARF6	SLC2A4
ARF6	SMAP1
ARPC5	ADRB2
ARPC5	LDLR
ARPC5	LRP2
ARTN	GFRA1
ARTN	GFRA2
ARTN	GFRA3
ARTN	GFRA4
ARTN	RET
ASGR1	NOS1
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
ASRGL1	CCR10
AVP	ADCY1
AVP	ADCYAP1R1
AVP	ADRB2
AVP	ADRB3
AVP	AQP2
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	GPR20
AVP	GPR84
AVP	LDLR
AVP	LRP2
AVP	MAPK3
AVP	OXTR
AVP	PLAU
AVP	PLD1
AVP	PRKAB1
AVP	PRKD1
AVP	PTH1R
AVP	RAMP2
AVP	RAMP3
AVP	SLC12A1
AVP	TGFB1
AVP	TRPC6
AVP	TSHR
AVP	VIPR1
AZGP1	ITGAV
A	ATRN
A	F11R
A	MC1R
A	MC2R
A	MC3R
A	MC4R
A	MC5R
B2M	CD1A
B2M	CD1B
B2M	CD1C
B2M	CD1D
B2M	CD3E
B2M	CD8A
B2M	GM7030
B2M	GYPC
B2M	HFE
B2M	HJV
B2M	HLA-B
B2M	HLA-F
B2M	KIR2DL4
B2M	KIR3DL2
B2M	KLRC2
B2M	KLRC4
B2M	LILRA1
B2M	LILRA2
B2M	LILRA4
B2M	LILRA5
B2M	LILRA6
B2M	LILRB1
B2M	LILRB3
B2M	LILRB5
B2M	TFR2
B2M	TYROBP
BAG6	CASP3
BAG6	NCR3
BCAN	EGFR
BCAN	NRCAM
BDNF	CASP6
BDNF	CDH2
BDNF	CDK1
BDNF	CDK5
BDNF	CHAT
BDNF	DDR1
BDNF	DRD4
BDNF	ERBB2
BDNF	GPR152
BDNF	GRIA1
BDNF	GRIN2A
BDNF	GRIN2B
BDNF	GSK3B
BDNF	INSRR
BDNF	MAP2K5
BDNF	MAPK1
BDNF	MAPK3
BDNF	MAPK8
BDNF	MAPK9
BDNF	MAPK10
BDNF	MTOR
BDNF	NGFR
BDNF	NOS1
BDNF	NTRK1
BDNF	NTRK2
BDNF	PIK3CA
BDNF	PIK3CG
BDNF	PIK3R1
BDNF	PLAU
BDNF	PLCG1
BDNF	RPS6KB1
BDNF	SORT1
BDNF	SOS1
BDNF	SRC
BDNF	STAT3
BDNF	TH
BDNF	TRPC1
